country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Greece,Italian,1919,6.163679578595747,4.315007816571131,89804.0
Greece,Jamaican,3,0.009635767970707265,4.166666666666667,14.0
Greece,Japanese,177,0.5685103102717286,4.1807909604519775,7408.0
Greece,Japanese Fusion,12,0.03854307188282906,4.375,74.0
Greece,Japanese sweets parlour,1,0.0032119226569024216,4.0,3.0
Greece,Korean,7,0.022483458598316953,4.428571428571429,353.0
Greece,Latin,48,0.15417228753131623,4.291666666666667,2446.0
Greece,Lazio,6,0.01927153594141453,4.583333333333333,1876.0
Greece,Lebanese,44,0.14132459690370658,4.4772727272727275,1875.0
Greece,Malaysian,2,0.006423845313804843,4.25,34.0
Greece,Medicinal foods,4,0.012847690627609687,4.625,17.0
Greece,Mediterranean,13511,43.39628701740862,4.3367996447339205,1237412.0
Greece,Mexican,136,0.4368214813387294,4.3161764705882355,9461.0
Greece,Middle Eastern,134,0.43039763602492453,4.395522388059701,8068.0
Greece,Moroccan,6,0.01927153594141453,4.75,131.0
Greece,Native American,3,0.009635767970707265,4.166666666666667,16.0
Greece,Neapolitan,68,0.2184107406693647,4.4411764705882355,7655.0
Greece,Nepalese,2,0.006423845313804843,4.75,4.0
Greece,Northern-Italian,15,0.048178839853536326,4.366666666666666,180.0
Greece,Not specified,3202,10.284576347401554,4.269675202998126,75373.0
Greece,Pakistani,11,0.035331149225926645,4.136363636363637,275.0
Greece,Persian,5,0.01605961328451211,4.8,114.0
Greece,Peruvian,14,0.044966917196633906,4.464285714285714,409.0
Greece,Philippine,2,0.006423845313804843,4.25,32.0
Greece,Pizza,1460,4.689407079077536,4.317123287671233,83320.0
Greece,Polish,2,0.006423845313804843,5.0,7.0
Greece,Polynesian,6,0.01927153594141453,4.0,80.0
Greece,Portuguese,5,0.01605961328451211,3.7,120.0
Greece,Pub,1744,5.601593113637823,4.394782110091743,52160.0
Greece,Romana,4,0.012847690627609687,4.5,1833.0
Greece,Romanian,6,0.01927153594141453,4.583333333333333,189.0
Greece,Russian,15,0.048178839853536326,4.6,121.0
Greece,Scandinavian,11,0.035331149225926645,4.636363636363637,447.0
Greece,Scottish,2,0.006423845313804843,4.5,44.0
Greece,Seafood,5420,17.408620800411125,4.282472324723247,535457.0
Greece,Sicilian,11,0.035331149225926645,4.590909090909091,1272.0
Greece,Singaporean,1,0.0032119226569024216,4.0,7.0
Greece,Slovenian,2,0.006423845313804843,4.25,14.0
Greece,Soups,94,0.30192072974882767,4.462765957446808,4031.0
Greece,South American,29,0.09314575705017022,4.344827586206897,548.0
